lat,long,ele,time  
43.58365826666667,1.456606583333333,192.0,2010-01-07T08:11:16Z
43.58355811666667,1.456739333333333,191.9,2010-01-07T08:11:18Z
43.59085006666665,1.448068300000000,199.0,2010-01-07T08:08:36Z
43.59077905000001,1.448140750000000,198.9,2010-01-07T08:08:38Z
43.59065085000000,1.448256383333333,198.8,2010-01-07T08:08:40Z
43.59052963333334,1.448356383333333,198.8,2010-01-07T08:08:42Z
43.59040823333333,1.448455900000000,198.7,2010-01-07T08:08:44Z
43.59026016666667,1.448570733333333,198.5,2010-01-07T08:08:47Z
43.59011056666667,1.448678183333333,198.4,2010-01-07T08:08:49Z
43.58997546666667,1.448775833333334,198.3,2010-01-07T08:08:51Z
43.58979165000000,1.448918400000000,198.2,2010-01-07T08:08:55Z
43.58958885000000,1.449089183333333,198.0,2010-01-07T08:08:59Z
43.58946278333332,1.449236266666667,197.9,2010-01-07T08:09:02Z
43.58934450000000,1.449383233333333,197.7,2010-01-07T08:09:05Z
43.58914845000000,1.449615116666667,197.6,2010-01-07T08:09:09Z
43.58902461666666,1.449746016666667,197.4,2010-01-07T08:09:12Z
43.58885955000000,1.449934983333333,197.3,2010-01-07T08:09:15Z
43.58873771666667,1.450089516666667,197.2,2010-01-07T08:09:18Z
43.58865134999999,1.450233350000000,197.1,2010-01-07T08:09:21Z
43.58853778333334,1.450476033333333,196.9,2010-01-07T08:09:24Z
43.58846033333332,1.450629416666666,196.8,2010-01-07T08:09:26Z
43.58836033333334,1.450775400000000,196.7,2010-01-07T08:09:28Z
43.58824395000000,1.450866800000000,196.6,2010-01-07T08:09:31Z
43.58803738333332,1.450878583333333,196.5,2010-01-07T08:09:34Z
43.58775248333333,1.451031750000000,196.3,2010-01-07T08:09:37Z
43.58752935000001,1.451184866666667,196.2,2010-01-07T08:09:40Z
43.58739553333333,1.451274916666667,196.0,2010-01-07T08:09:44Z
43.58726548333334,1.451363150000000,195.9,2010-01-07T08:09:46Z
43.58714294999999,1.451454983333333,195.9,2010-01-07T08:09:48Z
43.58690360000001,1.451649566666667,195.7,2010-01-07T08:09:52Z
43.58345623333333,1.456887900000000,191.8,2010-01-07T08:11:20Z
43.58334255000000,1.457062716666667,191.7,2010-01-07T08:11:23Z
43.58324366666668,1.457205916666667,191.6,2010-01-07T08:11:25Z
43.58314328333332,1.457346316666667,191.5,2010-01-07T08:11:27Z
43.58304995000000,1.457483966666667,191.4,2010-01-07T08:11:29Z
43.58293391666666,1.457667833333333,191.3,2010-01-07T08:11:32Z
43.58284583333334,1.457808200000000,191.2,2010-01-07T08:11:34Z
43.58278736666666,1.458100300000000,191.0,2010-01-07T08:11:37Z
43.58271979999999,1.458372100000000,190.9,2010-01-07T08:11:41Z
43.58267591666667,1.458553066666667,190.8,2010-01-07T08:11:43Z
43.58263173333333,1.458731933333333,190.7,2010-01-07T08:11:45Z
43.58154246666666,1.463029716666667,188.2,2010-01-07T08:12:41Z
43.58142633333333,1.463165916666667,188.1,2010-01-07T08:12:45Z
