Family Chain ID,Family Brand Name,Description,Chain Name ,Chain ID
10004,GM,AUTO SERVICE & MAINTENANCE,DAEWOO,308
10004,GM,AUTO SERVICE & MAINTENANCE,FSO,315
10004,GM,AUTO SERVICE & MAINTENANCE,HOLDEN,1220
10004,GM,AUTO SERVICE & MAINTENANCE,CORVETTE,3827
10004,GM,AUTO SERVICE & MAINTENANCE,OPEL,271
10004,GM,AUTO SERVICE & MAINTENANCE,SAAB,347
10004,GM,AUTO SERVICE & MAINTENANCE,VAUXHALL,356
10004,GM,AUTO SERVICE & MAINTENANCE,GM,317
10004,GM,AUTO SERVICE & MAINTENANCE,GMC,318
10004,GM,AUTO SERVICE & MAINTENANCE,PONTIAC,343
10004,GM,AUTO SERVICE & MAINTENANCE,HOLDEN HDT,1221
10004,GM,AUTO SERVICE & MAINTENANCE,HOLDEN SPECIAL VEHICLE,1222
10004,GM,AUTO SERVICE & MAINTENANCE,SATURN,348
10004,GM,AUTO SERVICE & MAINTENANCE,HUMMER,1013
10005,CHRYSLER,AUTO DEALERSHIPS,CHRYSLER,306
10005,CHRYSLER,AUTO DEALERSHIPS,CHRYSLER FIVE STAR,987
10005,CHRYSLER,AUTO DEALERSHIPS,DODGE,311
10005,CHRYSLER,AUTO DEALERSHIPS,DODGE FIVE STAR,988
10005,CHRYSLER,AUTO DEALERSHIPS,JEEP,323
10005,CHRYSLER,AUTO DEALERSHIPS,JEEP FIVE STAR,989
10005,CHRYSLER,AUTO SERVICE & MAINTENANCE,CHRYSLER,306
10005,CHRYSLER,AUTO SERVICE & MAINTENANCE,CHRYSLER FIVE STAR,987
10005,CHRYSLER,AUTO SERVICE & MAINTENANCE,DODGE,311
10005,CHRYSLER,AUTO SERVICE & MAINTENANCE,DODGE FIVE STAR,988
10005,CHRYSLER,AUTO SERVICE & MAINTENANCE,JEEP,323
10005,CHRYSLER,AUTO SERVICE & MAINTENANCE,JEEP FIVE STAR,989
10006,FORD,AUTO DEALERSHIPS,FORD,294
10006,FORD,AUTO DEALERSHIPS,LINCOLN ,282
10006,FORD,AUTO DEALERSHIPS,VOLVO,357
10006,FORD,AUTO SERVICE & MAINTENANCE,FORD,294
10006,FORD,AUTO SERVICE & MAINTENANCE,LINCOLN ,282
10006,FORD,AUTO SERVICE & MAINTENANCE,VOLVO,357
10006,FORD,AUTO DEALERSHIPS,CHANG AN FORD,6804
10006,FORD,AUTO SERVICE & MAINTENANCE,CHANG AN FORD,6804
10006,FORD,AUTO DEALERSHIPS,JMC FORD,6213
10006,FORD,AUTO SERVICE & MAINTENANCE,JMC FORD,6213
10007,HYUNDAI KIA,AUTO DEALERSHIPS,HYUNDAI,319
10007,HYUNDAI KIA,AUTO DEALERSHIPS,KIA,325
10007,HYUNDAI KIA,AUTO SERVICE & MAINTENANCE,HYUNDAI,319
10007,HYUNDAI KIA,AUTO SERVICE & MAINTENANCE,KIA,325
10007,HYUNDAI KIA,AUTO DEALERSHIPS,DONGFENG YUEDA KIA,6231
